City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
384,Pareora,NZ,62.19,broken clouds,-44.4871,171.2132,"Kingsdown Suite, Timaru"
387,Abashiri,JP,57.49,broken clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
389,La Sierra,CO,57.58,broken clouds,2.1784,-76.7626,HOTEL BALCON DEL NORTE
390,Ha Tinh,VN,69.33,overcast clouds,18.3333,105.9,Phú Quý
392,Sadovoye,RU,55.35,broken clouds,47.7764,44.5089,Putnik
393,Mandera,KE,77.32,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
398,Manggar,ID,77.34,moderate rain,-2.8833,108.2667,Guest Hotel
399,Khash,IR,56.01,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
401,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
403,Saldanha,ZA,59.05,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
404,Caravelas,BR,75.47,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
405,Yatou,CN,54.66,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
409,Apac,UG,64.02,scattered clouds,1.9756,32.5386,Double Duez Apac
410,Amapa,BR,77.88,broken clouds,1.0,-52.0,
411,Colonia,DE,52.59,clear sky,50.9333,6.95,Mauritius Hotel & Therme
412,Doka,SD,71.87,clear sky,13.5167,35.7667,منصور عثمان
418,Tapes,BR,58.12,overcast clouds,-30.6733,-51.3958,Cabanas Camping Union
419,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
420,Vila Franca Do Campo,PT,74.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
421,Mangan,IN,70.77,light rain,27.5167,88.5333,Hotel Mout View
424,Hobyo,SO,76.86,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
426,Salamiyah,SY,64.11,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
428,Lodja,CD,66.99,light rain,-3.4833,23.4333,
430,Northam,GB,52.61,broken clouds,51.0333,-4.2167,Durrant House Hotel
431,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
432,Tabou,CI,76.35,light rain,4.423,-7.3528,hotêl doufoulougou
434,Sinnamary,GF,79.7,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
436,Mogadishu,SO,76.89,clear sky,2.0371,45.3438,Hotel Juba
437,Dubuque,US,66.79,clear sky,42.4833,-90.8668,American Inn and Suites
439,Fort Saint James,CA,56.48,clear sky,54.4333,-124.25,The View Hotel
441,Springdale,US,73.51,broken clouds,36.1867,-94.1288,Springdale Inn
444,Shimoda,JP,71.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
445,Bonthe,SL,76.87,moderate rain,7.5264,-12.505,Bonthe Holiday Village
446,Goksun,TR,50.14,clear sky,38.021,36.4973,Prof. Dr. Mehmet Saglam Ogretmenevi
447,Porto Belo,BR,60.75,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
449,Khani,GE,51.37,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
450,Puerto Rondon,CO,78.39,broken clouds,6.2805,-71.1,Urbanización Santa Clara
454,Airai,TL,68.7,overcast clouds,-8.9266,125.4092,
455,San Quintin,MX,70.02,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
457,Nouadhibou,MR,75.18,broken clouds,20.930999999999997,-17.0347,El Medina
458,Zambezi,ZM,64.71,scattered clouds,-13.5432,23.1047,Royal Kutachika Lodge
460,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
461,Papara,BR,79.2,few clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
464,Mimoso Do Sul,BR,72.21,scattered clouds,-21.0642,-41.3664,Mimoso Plaza Hotel
465,Moose Factory,CA,50.0,broken clouds,51.2585,-80.6094,Moosonee Lilypad
466,Mount Gambier,AU,60.51,overcast clouds,-37.8333,140.7667,The Commodore
468,Bako,ET,62.82,broken clouds,5.7833,36.5667,Goh Hotel
470,Sungairaya,ID,76.93,light rain,0.7,108.9,Rumah Kuku Moimoi Shelly
472,Altamont,US,78.64,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
473,Catia La Mar,VE,79.59,overcast clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
474,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
475,Owando,CG,70.61,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
478,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
479,Santa Isabel,BR,67.3,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
480,Saint-Paul,RE,68.11,scattered clouds,-21.0096,55.2707,Boucan Canot
481,Gweru,ZW,62.04,clear sky,-19.45,29.8167,Suskwe Lodges
