City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Port Elizabeth,ZA,-33.918,25.5701,69.31,85,0,4.61,clear sky
201,Berlevag,NO,70.8578,29.0864,42.8,81,100,3.44,overcast clouds
202,Prince Rupert,CA,54.3161,-130.3201,55.49,71,100,9.22,overcast clouds
203,Zaragoza,ES,41.6561,-0.8773,67.01,78,20,5.01,few clouds
204,Rochester,US,43.1548,-77.6156,50.36,82,41,3.33,scattered clouds
205,Upernavik,GL,72.7868,-56.1549,17.31,68,97,4.32,overcast clouds
206,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,86.27,25,15,1.99,few clouds
207,Lahaina,US,20.8783,-156.6825,87.8,85,7,3.27,light rain
208,Mchinji,MW,-13.7984,32.8802,64.45,39,0,3.56,clear sky
209,Salalah,OM,17.0151,54.0924,73.49,60,0,3.44,clear sky
210,Hami,CN,42.8,93.45,51.84,31,46,14.63,scattered clouds
211,Kinna,SE,57.5073,12.6946,52.45,84,85,12.35,overcast clouds
212,Margate,GB,51.3813,1.3862,53.69,71,6,1.99,clear sky
213,Aykhal,RU,66.0,111.5,26.91,96,96,7.87,overcast clouds
214,Pizarro,CO,4.9533,-77.366,76.6,89,100,4.54,overcast clouds
215,Esso,RU,55.9333,158.7,33.42,76,60,3.42,broken clouds
216,Provideniya,RU,64.3833,-173.3,33.91,64,40,11.18,scattered clouds
217,Vagur,FO,61.4732,-6.8119,45.28,62,97,14.99,overcast clouds
218,Axim,GH,4.8699,-2.2405,76.05,88,85,6.91,overcast clouds
219,Narsaq,GL,60.9167,-46.05,35.82,98,100,7.56,light rain
220,Adrar,MR,20.5022,-10.0711,89.11,22,18,9.15,few clouds
221,Byron Bay,AU,-28.65,153.6167,65.71,61,96,15.19,overcast clouds
222,Westport,US,41.1415,-73.3579,62.37,70,75,4.0,broken clouds
223,Lima,PE,-12.0432,-77.0282,65.89,71,40,18.41,scattered clouds
224,Yenagoa,NG,4.9247,6.2642,75.0,94,100,2.33,moderate rain
225,Moratuwa,LK,6.773,79.8816,77.02,87,41,6.29,scattered clouds
226,Cabo San Lucas,MX,22.8909,-109.9124,90.7,58,0,5.75,clear sky
227,Yangjiang,CN,21.85,111.9667,66.49,56,6,8.37,clear sky
228,Dunblane,GB,56.1884,-3.9642,48.78,93,91,5.03,overcast clouds
229,Yokadouma,CM,3.5167,15.05,66.43,99,81,0.74,broken clouds
230,Fairbanks,US,64.8378,-147.7164,35.1,79,40,5.75,scattered clouds
231,Haines Junction,CA,60.7522,-137.5108,48.15,49,100,3.44,overcast clouds
232,Bodrum,TR,37.0383,27.4292,69.28,75,4,1.14,clear sky
233,West Bay,KY,19.3667,-81.4167,84.27,85,20,6.91,few clouds
234,Aklavik,CA,68.2191,-135.0107,32.07,87,100,9.78,overcast clouds
235,Oshikango,NA,-17.4,15.8833,69.49,16,23,3.56,few clouds
236,Vao,NC,-22.6667,167.4833,72.46,64,100,15.97,light rain
237,Weiser,US,44.251,-116.9693,79.0,29,2,3.0,clear sky
238,Broken Hill,AU,-31.95,141.4333,66.79,27,100,11.83,overcast clouds
239,Siuri,IN,23.9167,87.5333,75.99,92,57,5.44,broken clouds
240,Senneterre,CA,48.3835,-77.2328,33.21,94,71,5.7,broken clouds
241,Manado,ID,1.487,124.8455,79.57,89,20,0.0,few clouds
242,Ahipara,NZ,-35.1667,173.1667,66.2,58,64,3.49,broken clouds
243,Udachnyy,RU,66.4167,112.4,23.9,94,95,7.05,overcast clouds
244,Kavaratti,IN,10.5669,72.642,80.1,79,80,7.02,broken clouds
245,Whitehorse,CA,60.7161,-135.0538,48.97,43,75,10.36,broken clouds
246,Shitanjing,CN,39.2342,106.3439,42.87,18,0,5.48,clear sky
247,Kokstad,ZA,-30.5472,29.4241,65.43,59,91,4.5,overcast clouds
248,Bethel,US,41.3712,-73.414,59.56,77,0,5.75,clear sky
249,Nelson Bay,AU,-32.7167,152.15,66.11,60,100,11.01,overcast clouds
250,Havoysund,NO,70.9963,24.6622,44.83,83,100,13.56,light rain
251,Kantunilkin,MX,21.0917,-87.45,75.63,97,100,1.95,overcast clouds
252,Yar-Sale,RU,66.8333,70.8333,38.1,91,93,15.35,overcast clouds
253,Ratnagiri,IN,16.9833,73.3,76.68,89,100,3.74,overcast clouds
254,Southbridge,US,42.0751,-72.0334,56.39,91,82,3.0,broken clouds
255,Teknaf,BD,20.8624,92.3058,77.63,89,96,3.22,overcast clouds
256,Kiruna,SE,67.8557,20.2251,41.92,87,100,8.05,overcast clouds
257,Kouroussa,GN,10.65,-9.8833,73.02,92,80,2.86,moderate rain
258,Tigbao,PH,12.5546,123.3389,83.61,74,80,12.01,broken clouds
259,Qingquan,CN,30.4511,115.2559,55.94,49,72,2.64,broken clouds
260,Nachingwea,TZ,-10.3833,38.7667,66.02,81,0,2.1,clear sky
261,Ugoofaaru,MV,5.6667,73.0,81.3,79,74,20.49,light rain
262,Maniitsoq,GL,65.4167,-52.9,36.68,79,100,15.21,overcast clouds
263,Urusha,RU,54.05,122.9,35.17,63,7,1.77,clear sky
264,Khasan,RU,42.4308,130.6434,48.54,61,89,28.23,overcast clouds
265,Ixtapa,MX,20.7,-105.2,83.26,79,13,2.26,few clouds
266,Svetlyy,RU,54.675,20.1347,48.25,62,93,17.25,overcast clouds
267,Port-Cartier,CA,50.0334,-66.8654,42.91,67,100,12.3,overcast clouds
268,Coquimbo,CL,-29.9533,-71.3436,55.13,76,20,8.05,few clouds
269,Tottori,JP,35.5,134.2333,59.07,63,75,1.14,broken clouds
270,Kupang,ID,-10.1667,123.5833,85.75,59,97,1.81,overcast clouds
271,Selikhino,RU,50.3672,137.4996,37.81,94,100,16.49,overcast clouds
272,Bhatkal,IN,13.9667,74.5667,75.99,92,100,4.97,moderate rain
273,Takoradi,GH,4.8845,-1.7554,76.55,88,40,7.52,scattered clouds
274,Acajutla,SV,13.5928,-89.8275,76.55,91,100,8.25,overcast clouds
275,Otane,NZ,-39.8833,176.6333,65.01,67,78,2.13,light rain
276,Sirjan,IR,29.452,55.6814,59.09,14,0,4.36,clear sky
277,Artyom,AZ,40.4723,50.333,64.54,82,2,8.1,clear sky
278,Ilulissat,GL,69.2167,-51.1,24.82,80,75,2.3,broken clouds
